name             ,type    ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example ,description
nAppearances     ,blknum  ,           ,       ,      ,true    ,          ,        ,         ,    ,     ,        ,
lastExport       ,blknum  ,           ,       ,      ,true    ,          ,        ,         ,    ,     ,        ,
firstAppearance  ,blknum  ,           ,       ,      ,true    ,          ,        ,         ,    ,     ,        ,
latestAppearance ,blknum  ,UINT_MAX   ,       ,      ,true    ,          ,        ,         ,    ,     ,        ,
lastVisitedBlock ,blknum  ,NOPOS      ,       ,      ,true    ,          ,        ,         ,    ,     ,        ,
sizeInBytes      ,uint64  ,           ,       ,      ,true    ,true      ,        ,         ,4   ,4    ,        ,the size of this monitor on disc
nApps            ,blknum  ,           ,       ,      ,        ,          ,true    ,true     ,1   ,1    ,        ,the number of appearances for this monitor
firstApp         ,blknum  ,           ,       ,      ,        ,          ,true    ,true     ,2   ,2    ,        ,the first block at which this address appears
latestApp        ,blknum  ,           ,       ,      ,        ,          ,true    ,true     ,3   ,3    ,        ,the latest block at which this address appears
address          ,address ,           ,       ,      ,        ,          ,true    ,true     ,6   ,6    ,        ,the address being monitored
decimals         ,uint64  ,           ,       ,      ,        ,          ,true    ,true     ,12  ,     ,        ,
petname          ,string  ,           ,       ,      ,        ,true      ,true    ,true     ,    ,     ,        ,
isContract       ,bool    ,           ,       ,      ,        ,          ,true    ,true     ,13  ,     ,        ,
isCustom         ,bool    ,           ,       ,      ,        ,          ,true    ,true     ,8   ,8    ,        ,`true` if this address is customized
isErc20          ,bool    ,           ,       ,      ,        ,true      ,true    ,true     ,    ,     ,        ,
isErc721         ,bool    ,           ,       ,      ,        ,true      ,true    ,true     ,    ,     ,        ,
isPrefund        ,bool    ,           ,       ,      ,        ,true      ,true    ,true     ,    ,     ,        ,
name             ,string  ,           ,       ,      ,        ,          ,true    ,true     ,7   ,7    ,        ,the name given to this address
source           ,string  ,           ,       ,      ,        ,          ,true    ,true     ,11  ,     ,        ,
symbol           ,string  ,           ,       ,      ,        ,          ,true    ,true     ,10  ,     ,        ,
tags             ,string  ,           ,       ,      ,        ,          ,true    ,true     ,5   ,5    ,        ,the tag given to this address
deleted          ,bool    ,           ,       ,      ,        ,          ,true    ,true     ,9   ,9    ,        ,`true` if deleted&#44; `false` otherwise
