enabled,mode,speed,route,path/tool,filename,post,options,opt_cmd,has_env
on,cmd,medi,slurp,tools/ethslurp,README,n,@th
on,cmd,fast,slurp,tools/ethslurp,help,n,@h
on,cmd,fast,slurp,tools/ethslurp,help_long,n,help
on,both,fast,slurp,tools/ethslurp,no_params,y,
on,both,fast,slurp,tools/ethslurp,invalid_param_1,y,pink
on,both,fast,slurp,tools/ethslurp,invalid_param_2,y,pank
on,both,fast,slurp,tools/ethslurp,invalid_address_1,y,addrs = invalid
on,both,fast,slurp,tools/ethslurp,invalid_address_2,y,addrs = 0x63c8c29af409bd31ec7ddeea58f
on,both,fast,slurp,tools/ethslurp,invalid_type1,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & types = junk
on,cmd,fast,slurp,tools/ethslurp,invalid_type2,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & types =
off,cmd,medi,slurp,tools/ethslurp,no_record_in_block_range,n,addrs = 0x63c8c29af409bd31ec7ddeea58ff14f21e8980b0 & blocks = 0-1
off,cmd,medi,slurp,tools/ethslurp,not_found_address,n,addrs = 0x63c8c29af409bd31ec7ddeea58ff14f21e8980b5
off,both,medi,slurp,tools/ethslurp,range_of_blocks,y,addrs = 0x63c8c29af409bd31ec7ddeea58ff14f21e8980b0 & blocks = 4186279-4186301
off,both,fast,slurp,tools/ethslurp,single_block_range,n,addrs = 0x63c8c29af409bd31ec7ddeea58ff14f21e8980b0 & blocks = 4186279-4186280
off,cmd,medi,slurp,tools/ethslurp,blockByHash,n,addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & blocks = 0xd19bc98080cd70951fad3951cef2d512e6334aa3c7e64a38985c955d4d2e273b
on,both,medi,slurp,tools/ethslurp,type_ext,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & types = ext
on,both,medi,slurp,tools/ethslurp,type_int,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & types = int & blocks = 0-7000000
on,both,slow,slurp,tools/ethslurp,type_token,y,addrs = 0x9519afbc60719a83c470ceec41e32d3e4b8b262e & types = token & blocks = 0-1500000
on,both,slow,slurp,tools/ethslurp,type_nft,y,addrs = 0x00a3819199113fc6a6e6ba1298afde7377e2009b & types = nfts & blocks = 0-8500000
on,both,medi,slurp,tools/ethslurp,type_miner,y,addrs = 0x05a56e2d52c817161883f50c441c3228cfe54d9f & types = miner & blocks = 1-1000
on,both,fast,slurp,tools/ethslurp,type_all,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & types = all & blocks = 0-3793420
on,both,fast,slurp,tools/ethslurp,fmt_default,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000
on,both,fast,slurp,tools/ethslurp,fmt_txt,n,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = txt
on,both,fast,slurp,tools/ethslurp,fmt_csv,n,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = csv & no_header
on,both,fast,slurp,tools/ethslurp,fmt_api,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = api
on,both,fast,slurp,tools/ethslurp,fmt_json,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = json
on,cmd,fast,slurp,tools/ethslurp,fmt_junk,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = junk
on,both,fast,slurp,tools/ethslurp,to_file,y,addrs = 0x1324e7b922b30B49Ab8EA81086341cc41C249346 & blocks = 3750000-4000000 & fmt = json & to_file
