enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  all,  tokens, tools/getTokenInfo, preload_abi,                   n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07, grabABI
on, cmd,  all,  tokens, tools/getTokenInfo, preload_abi2,                  n, addrs = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607, grabABI

on, cmd,  fast, tokens, tools/getTokenInfo, README,                        n, @th
on, cmd,  fast, tokens, tools/getTokenInfo, help,                          n, @h
on, cmd,  fast, tokens, tools/getTokenInfo, help_long,                     n, help
on, cmd,  fast, tokens, tools/getTokenInfo, help_verbose,                  n, help & verbose
on, both, slow, tokens, tools/getTokenInfo, noparams,                      y,

on, both, slow, tokens, tools/getTokenInfo, invalid_params_1,              y, addrs = a b c
on, both, slow, tokens, tools/getTokenInfo, invalid_params_2,              y, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 21321321312321
on, both, slow, tokens, tools/getTokenInfo, invalid_params_3,              y, blocks = 21321321312321 0xd26114cd6ee289accf82350c8d8487fedb8a0c07
on, both, slow, tokens, tools/getTokenInfo, invalid_token,                 y, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c0 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28
on, both, slow, tokens, tools/getTokenInfo, invalid_addr,                  y, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa2
on, both, slow, tokens, tools/getTokenInfo, token_does_not_exist,          y, addrs = 0xd26114cd6EE289AccF82350c8d84870000000000 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 4000000
on, both, slow, tokens, tools/getTokenInfo, acccount_does_not_exist,       n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc43304000000 & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, invalid_dollars,               n, addrs = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 0x6b65353ac052f6c3a0c9688911b078bd025d6ab3 0xa25d04fa348f107428708ba19c95d1c79b3744bf & blocks = 4285364 3510999 2510010 & dollars

on, both, slow, tokens, tools/getTokenInfo, single_account,                n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, multiple_token_accounts,       n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, block_out_of_range,            y, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = 16000000
on, both, slow, tokens, tools/getTokenInfo, by_account_table,              y, addrs = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0x6b65353ac052f6c3a0c9688911b078bd025d6ab3 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, special_1,                     n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = first
on, both, slow, tokens, tools/getTokenInfo, special_2,                     n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = stateclear
on, both, slow, tokens, tools/getTokenInfo, special_3,                     n, addrs = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = stateclear daofund
